user_address,total_debt_usd,total_collateral_usd,health_factor
0x9600a48ed0f931d0c422d574e3275a90d8b22745,1536111331.19,1661434496.68,0.8718
0xf0bb20865277abd641a307ece5ee04e79073416c,1356233581.12,1518670883.45,0.8958
0xc6badce2f5e10db90d74dbe023768259ec4699c7,498988099.40,850587640.90,1.3807
0xc468315a2df54f9c076bd5cfe5002ba211f74ca6,360151224.03,404040113.93,0.8414
0xe5c248d8d3f3871bd0f68e9c4743459c43bb4e4c,230299967.76,464945170.14,1.6757
0xfaf1358fe6a9fa29a169dfc272b14e709f54840f,222162423.11,459494549.73,1.7167
0x23a5e45f9556dc7ffb507db8a3cfb2589bc8adad,186784541.82,203849350.70,0.8185
0xef417fce1883c6653e7dc6af7c6f85ccde84aa09,184151396.20,208471055.88,0.9094
0x9cbf099ff424979439dfba03f00b5961784c06ce,181452845.64,198743552.45,0.8215
0xef992050dff61225ba6fb6018a106a6e2b2569a3,140467722.62,154232347.75,0.0011
0x85e05c10db73499fbdecab0dfbb794a446feeec8,134982617.45,288280431.15,1.7726
0x197f0a20c1d96f7dffd5c7b5453544947e717d66,131480610.35,139945551.88,0.8515
0x99926ab8e1b589500ae87977632f13cf7f70f242,129875837.65,243061837.67,1.5475
0x3edc842766cb19644f7181709a243e523be29c4c,125131324.17,139356499.12,0.8909
0x6761826e71fa2f47fbd2db2eb9f94fbbd49a9e8a,116187466.77,133190400.19,0.9171
0x5be9a4959308a0d0c7bc0870e319314d8d957dbb,111754688.94,183808678.99,1.2967
0xd9b12c063d4df75b47bd5797d857c873e3c6b505,111331719.51,122861937.54,0.8829
0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,105828315.25,262615857.34,2.0566
0x7cd0b7ed790f626ef1bd42db63b5ebeb5970c912,103093594.29,217631283.59,1.6482
0xfa5484533acf47bc9f5d9dc931fcdbbdcefb4011,102059018.78,225449161.13,1.7425
0xe40d278afd00e6187db21ff8c96d572359ef03bf,101876559.85,208850361.19,1.6285
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,97810586.90,308560587.94,2.6184
0x50fc9731dace42caa45d166bff404bbb7464bf21,96159990.53,258928734.05,2.1003
0x34780c209d5c575cc1c1ceb57af95d4d2a69ddcf,95190356.82,244150034.84,2.1288
0xdb802c7c6b7cc1c0e8474bb7eb80bbc569763de5,94972501.30,255701006.60,2.1000
0x40e93a52f6af9fcd3b476aedadd7feabd9f7aba8,86844312.59,96855850.11,0.8365
0x5877626d3cdc57317d861207244a4eea28decf9e,85282929.34,96786495.45,0.9079
0xabbd5b2b0b034781e58434736728b9d0673de7f1,83710399.25,142252074.99,1.3962
0x4f285bbcfed9140ea4c15feb3348b227f6f35bea,80835753.93,87578274.57,0.8667
0x7c697d6cff279f3f9c2401d0ea2ac7e7ede0e2c3,78867786.56,239944507.11,2.4643
0x60d2d94acb969ca54e781007ee89f04c1a2e5943,76192748.01,94080612.94,1.0002
0xba20c11a14c7f41589785cd6fc1809b03bd58ecb,75462591.44,79840104.47,0.7935
0x659195fb6c4d77cf116564cb6487d2effd60bce3,75418305.04,82844716.68,0.8239
0x6e9e81efcc4cbff68ed04c4a90aea33cb22c8c89,75054719.26,170596516.12,1.8866
0xaf9b98d2acde5f13eaeaeb0101273cdfa86dcc95,72137363.32,82881529.05,0.8617
0x8e80a60a1766b3b80aa7d766e190eb80fb68683d,70048797.18,74637406.74,0.7991
0xd93814273b33dd33b32cd345225cfb65deb048dd,68561864.86,74117375.10,0.8108
0xa339d279e0a3a9ede11eceac2ec9529eebdae12c,67972260.23,142209577.04,1.7365
0x64471d103a7f77262529383d53bdd28b260b1ae8,64988251.26,75424894.98,0.8704
0x4ed0b41dff79e0e53a054903873899bc32abc853,63732730.27,105469005.66,1.2908
0xe84a061897afc2e7ff5fb7e3686717c528617487,62898997.79,231830714.98,2.9688
0xa0f75491720835b36edc92d06ddc468d201e9b73,60877610.16,86262339.29,1.0726
0x0591926d5d3b9cc48ae6efb8db68025ddc3adfa5,59372885.19,66279804.87,0.8372
0x52e02f0a43ea757d3c8b78745c99d8ddc33bfa26,58571566.31,106301547.09,1.5064
0x96f49d0e9724dfd8780fa667ac37a993f005cb94,58443127.77,130506459.06,1.7864
0x8ae9847bd9153805b064e3c3350cbacdf622a24a,53823640.02,58590655.16,0.8164
0x5780734f2553dcb83cc6c9c6a7efea52daeca70e,50371572.18,53534452.87,0.7971
0xcfcce06af0ee209dfa340247199057fe619c98c9,50287938.51,54680626.32,0.8699
0xffefa70b6deaab975ef15a6474ce9c4214d82b02,49999681.50,97032335.71,1.5719
0xb3abe0777aa9685941e54744e704378b4b33eeaa,49798062.77,56053626.00,0.8442
0xd8495b95a3a6a85f4e3baa003e8b7ed1ed85562d,49494880.35,54833897.32,0.8974
0xce9d00377edc72ddfbf0c9e0f007b614e9257c69,47925340.78,51613052.93,0.8616
