symbol,current_price,daily_volatility,annualized_volatility,annualized_volatility_pct,days_analyzed
FXS,0.79150972,0.07056254,1.34809534,134.8095,89
AAVE,170.67160045,0.04784903,0.91415435,91.4154,90
KNC,0.27248628,0.04050723,0.77388946,77.3889,89
osETH,2925.47315648,0.03635207,0.69450540,69.4505,89
ETHx,3037.16777191,0.03524909,0.67343297,67.3433,89
tETH,3458.98491477,0.03514864,0.67151380,67.1514,89
WETH,2824.93892778,0.03512227,0.67100995,67.1010,90
rsETH,2989.82010175,0.03507156,0.67004128,67.0041,89
weETH,3056.90694827,0.03504363,0.66950768,66.9508,90
ezETH,3014.29877200,0.03497438,0.66818466,66.8185,89

