scenario,bad_debt_usd
0,1343174662.3658528
1,1377298990.5970745
2,1337597353.3817232
3,1368121006.0339355
4,1347663328.2807326
5,1306915941.9210517
6,1358560287.7330544
7,1355177933.6485722
8,1340055280.7256947
9,1379858656.1698868
10,1370317425.0228302
11,1354345272.9497778
12,1335069107.9298253
13,1330246132.2652135
14,1375537962.484278
15,1352935261.5668888
16,1365403373.621054
17,1347511547.3441033
18,1357908857.7485623
19,1349108063.5706012
20,1340853696.2863758
21,1376801825.774742
22,1337020247.4964242
23,1319157640.210661
24,1365395383.3069956
25,1305853044.8408802
26,1299812615.3155682
27,1377419475.7371557
28,1368652076.9963243
29,1322633318.5703382
30,1340568887.8549137
31,1331157287.9726398
32,1388096152.2239785
33,1330000920.35105
34,1352653755.6714568
35,1369486078.9772756
36,1357025465.491149
37,1342102180.8370883
38,1358158917.1251333
39,1399455629.5592685
40,1336066442.5100117
41,1339771134.67218
42,1324674027.6550045
43,1353728854.9898026
44,1372395820.1495545
45,1360871358.7793002
46,1303825280.8126912
47,1348621960.977547
48,1357138998.6218836
49,1403947971.4655151
50,1340137175.6654346
51,1333107068.9620962
52,1327369432.3090467
53,1375747205.5897222
54,1315527076.2538936
55,1350391965.5186424
56,1309962644.5779805
57,1372656795.5361924
58,1303289477.537012
59,1342833016.640836
60,1341968489.4080217
61,1378010564.035693
62,1417444844.809835
63,1345039557.561294
64,1336957827.130714
65,1355579015.4223967
66,1335356347.5505917
67,1351607115.3715098
68,1393523057.8900225
69,1347099485.9641292
70,1335956567.7416549
71,1344973481.4810736
72,1361549831.6273754
73,1362851797.403088
74,1372596570.4494958
75,1303315714.6797547
76,1349052606.9879332
77,1324758707.1342363
78,1353863247.3980618
79,1377385445.0548353
80,1408720377.4711642
81,1324529203.6835313
82,1367619986.2841163
83,1321055067.5221677
84,1352421283.863901
85,1371752708.9662278
86,1342216702.0748348
87,1392020065.0974483
88,1329827077.5107038
89,1364711689.2714615
90,1382926533.6383107
91,1429839497.4769833
92,1363803773.2266884
93,1428984664.5417805
94,1324529378.3225157
95,1398284023.109012
96,1318904824.2277958
97,1346864747.0611174
98,1315875826.8173842
99,1356835140.5044541
100,1364318830.8906937
101,1406384362.6413066
102,1381602276.3517182
103,1341929360.622662
104,1346812485.2271087
105,1373127635.1750968
106,1264579656.4741638
107,1324941515.931328
108,1364968540.689877
109,1377116345.3994858
110,1297483730.2913938
111,1325810776.3543353
112,1341008919.3062656
113,1321610778.5582798
114,1362827266.6166263
115,1326285444.7336917
116,1378150023.0313113
117,1336470169.8202448
118,1308238868.9276028
119,1362668424.8505056
120,1413768189.93055
121,1398937421.4786432
