user_address,symbol,amount,amount_usd,price_usd
0x9600a48ed0f931d0c422d574e3275a90d8b22745,WETH,543767.978871692700000000,1536111331.19,2824.93892778
0xf0bb20865277abd641a307ece5ee04e79073416c,WETH,480093.062468225250000000,1356233581.12,2824.93892778
0xc6badce2f5e10db90d74dbe023768259ec4699c7,USDT,498991277.978198000000000000,498988099.40,0.99999363
0xe5c248d8d3f3871bd0f68e9c4743459c43bb4e4c,USDT,230301434.781177000000000000,230299967.76,0.99999363
0xfaf1358fe6a9fa29a169dfc272b14e709f54840f,USDT,222163838.291237000000000000,222162423.11,0.99999363
0xc468315a2df54f9c076bd5cfe5002ba211f74ca6,USDT,218495281.824515000000000000,218493890.01,0.99999363
0x23a5e45f9556dc7ffb507db8a3cfb2589bc8adad,wstETH,54181.533317911800000000,186784541.82,3447.38382951
0xef417fce1883c6653e7dc6af7c6f85ccde84aa09,WETH,65187.744198732886000000,184151396.20,2824.93892778
0x9cbf099ff424979439dfba03f00b5961784c06ce,USDT,181454001.500817000000000000,181452845.64,0.99999363
0xc468315a2df54f9c076bd5cfe5002ba211f74ca6,USDC,141698350.020758000000000000,141657334.02,0.99971054
0xef992050dff61225ba6fb6018a106a6e2b2569a3,wstETH,40746.180166029960000000,140467722.62,3447.38382951
0x197f0a20c1d96f7dffd5c7b5453544947e717d66,WETH,46542.815158948010000000,131480610.35,2824.93892778
0x3edc842766cb19644f7181709a243e523be29c4c,WETH,44295.231638463900000000,125131324.17,2824.93892778
0x6761826e71fa2f47fbd2db2eb9f94fbbd49a9e8a,wstETH,33703.083994901004000000,116187466.77,3447.38382951
0xd9b12c063d4df75b47bd5797d857c873e3c6b505,WETH,39410.310224895580000000,111331719.51,2824.93892778
0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,USDC,105858957.180179000000000000,105828315.25,0.99971054
0x5be9a4959308a0d0c7bc0870e319314d8d957dbb,USDC,103877092.058571000000000000,103847023.80,0.99971054
0x7cd0b7ed790f626ef1bd42db63b5ebeb5970c912,USDC,103123236.987149000000000000,103093386.93,0.99971054
0xfa5484533acf47bc9f5d9dc931fcdbbdcefb4011,USDC,102088569.339328000000000000,102059018.78,0.99971054
0x50fc9731dace42caa45d166bff404bbb7464bf21,USDC,96187833.060942000000000000,96159990.53,0.99971054
0x34780c209d5c575cc1c1ceb57af95d4d2a69ddcf,USDT,95162798.575407000000000000,95162192.39,0.99999363
0xdb802c7c6b7cc1c0e8474bb7eb80bbc569763de5,USDC,95000000.000005000000000000,94972501.30,0.99971054
0x40e93a52f6af9fcd3b476aedadd7feabd9f7aba8,wstETH,25191.367390546150000000,86844312.59,3447.38382951
0x5877626d3cdc57317d861207244a4eea28decf9e,WETH,30189.300202465360000000,85282929.34,2824.93892778
0xabbd5b2b0b034781e58434736728b9d0673de7f1,USDC,83734637.075513000000000000,83710399.25,0.99971054
0x4f285bbcfed9140ea4c15feb3348b227f6f35bea,WETH,28615.044783137135000000,80835753.93,2824.93892778
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,USDC,80209677.529397000000000000,80186460.04,0.99971054
0x85e05c10db73499fbdecab0dfbb794a446feeec8,USDC,80000150.420625000000000000,79976993.58,0.99971054
0xe40d278afd00e6187db21ff8c96d572359ef03bf,USDC,76934390.233487000000000000,76912120.80,0.99971054
0x60d2d94acb969ca54e781007ee89f04c1a2e5943,WETH,26971.467335137910000000,76192748.01,2824.93892778
0xba20c11a14c7f41589785cd6fc1809b03bd58ecb,WETH,26712.999243421968000000,75462591.44,2824.93892778
0x659195fb6c4d77cf116564cb6487d2effd60bce3,wstETH,21876.967800893430000000,75418305.04,3447.38382951
0x6e9e81efcc4cbff68ed04c4a90aea33cb22c8c89,USDT,75055197.360230000000000000,75054719.26,0.99999363
0xaf9b98d2acde5f13eaeaeb0101273cdfa86dcc95,USDT,72137822.835689000000000000,72137363.32,0.99999363
0x8e80a60a1766b3b80aa7d766e190eb80fb68683d,WETH,24796.570465800830000000,70048797.18,2824.93892778
0xd93814273b33dd33b32cd345225cfb65deb048dd,USDT,68562301.598450000000000000,68561864.86,0.99999363
0xa339d279e0a3a9ede11eceac2ec9529eebdae12c,USDT,67972693.219276000000000000,67972260.23,0.99999363
0x4ed0b41dff79e0e53a054903873899bc32abc853,USDT,63733136.248319000000000000,63732730.27,0.99999363
0x99926ab8e1b589500ae87977632f13cf7f70f242,USDT,61749447.402287000000000000,61749054.06,0.99999363
0x7c697d6cff279f3f9c2401d0ea2ac7e7ede0e2c3,USDT,61730897.193666000000000000,61730503.97,0.99999363
0xa0f75491720835b36edc92d06ddc468d201e9b73,USDT,60877997.957155000000000000,60877610.16,0.99999363
0x0591926d5d3b9cc48ae6efb8db68025ddc3adfa5,USDC,59390076.241179000000000000,59372885.19,0.99971054
0x85e05c10db73499fbdecab0dfbb794a446feeec8,USDT,55005974.262979000000000000,55005623.87,0.99999363
0x8ae9847bd9153805b064e3c3350cbacdf622a24a,wstETH,15612.894496290677000000,53823640.02,3447.38382951
0x5780734f2553dcb83cc6c9c6a7efea52daeca70e,WETH,17831.030498363227000000,50371572.18,2824.93892778
0xcfcce06af0ee209dfa340247199057fe619c98c9,WETH,17801.425022081450000000,50287938.51,2824.93892778
0x52e02f0a43ea757d3c8b78745c99d8ddc33bfa26,USDT,50056551.384920000000000000,50056232.52,0.99999363
0xffefa70b6deaab975ef15a6474ce9c4214d82b02,USDT,50000000.000000000000000000,49999681.50,0.99999363
0xb3abe0777aa9685941e54744e704378b4b33eeaa,USDC,49812481.491058000000000000,49798062.77,0.99971054
0xd8495b95a3a6a85f4e3baa003e8b7ed1ed85562d,WETH,17520.690400609787000000,49494880.35,2824.93892778
0x99926ab8e1b589500ae87977632f13cf7f70f242,USDC,48156007.026818000000000000,48142067.79,0.99971054
0xce9d00377edc72ddfbf0c9e0f007b614e9257c69,WETH,16965.089159992323000000,47925340.78,2824.93892778
0xfa4fc4ec2f81a4897743c5b4f45907c02ce06199,WETH,16942.037145208255000000,47860220.25,2824.93892778
0x94def848159b30605afe0c1d1ac43d6d588b940a,USDT,45146441.055008000000000000,45146153.47,0.99999363
0x64471d103a7f77262529383d53bdd28b260b1ae8,USDC,44978656.662818000000000000,44965637.14,0.99971054
0x2e15d7aa0650de1009710fdd45c3468d75ae1392,WETH,15764.861616739770000000,44534771.27,2824.93892778
0x58e70d8bed174643fb5f177e3f0ab2cfe689487d,WETH,15723.942668472087000000,44419177.74,2824.93892778
0xefad748654ec2c072b8735c010ae2fdea04aaf7d,USDC,44004080.645602000000000000,43991343.22,0.99971054
0x8ad459048c798b7435887184d81d7dd8cf2ab818,WETH,15543.218797515257000000,43908643.84,2824.93892778
0xb561b1e79e448bc3a7ac4dc377eeecbc99505f60,RLUSD,43357946.090855660000000000,43342423.95,0.99964200
